"REGION,YEAR,WEEK,FertilityRate,Education,Policy,FamilyPlanning"
"Alabama,2015,1,5.42916,525,23,9670"
"Alaska,2015,1,0.975177,11,8,1128"
"Arizona,2015,1,2.65774,639,60,24043"
"Arkansas,2015,1,5.29005,321,19,6068"
"California,2015,1,3.99683,1865,157,46662"
"Colorado,2015,1,3.56194,134,6,3762"
"Connecticut,2015,1,2.2769,62,16,2723"
"Delaware,2015,1,1.35514,29,9,2140"
"District of Columbia,2015,1,12.6485,181,2,1431"
"Florida,2015,1,X,X,X,X"
"Georgia,2015,1,3.11618,762,34,24453"
"Hawaii,2015,1,11.99,335,19,2794"
"Idaho,2015,1,5.63751,214,10,3796"
"Illinois,2015,1,3.07323,1397,93,45457"
"Indiana,2015,1,3.40893,239,36,7011"
"Iowa,2015,1,4.01544,104,12,2590"
"Kansas,2015,1,6.33073,397,31,6271"
"Kentucky,2015,1,2.36296,494,20,20906"
"Louisiana,2015,1,4.77709,2127,75,44525"
"Maine,2015,1,2.23803,129,30,5764"
"Maryland,2015,1,2.78897,346,24,12406"
"Massachusetts,2015,1,1.76238,468,47,26555"
"Michigan,2015,1,2.35103,391,52,16631"
"Minnesota,2015,1,3.64327,163,15,4474"
"Mississippi,2015,1,5.57493,1103,53,19785"
"Missouri,2015,1,4.37008,333,23,7620"
"Montana,2015,1,1.40569,43,11,3059"
"Nebraska,2015,1,2.82328,81,15,2869"
"Nevada,2015,1,3.93077,486,27,12364"
"New Hampshire,2015,1,1.11036,49,26,4413"
"New Jersey,2015,1,3.62311,343,26,9467"
"New Mexico,2015,1,3.97067,509,26,12819"
"New York,2015,1,4.20694,370,84,8795"
"North Carolina,2015,1,3.79011,567,52,14960"
"North Dakota,2015,1,3.37739,69,10,2043"
"Ohio,2015,1,3.43176,480,57,13987"
"Oklahoma,2015,1,5.88416,192,19,3263"
"Oregon,2015,1,1.52801,63,17,4123"
"Pennsylvania,2015,1,4.48301,558,44,12447"
"Rhode Island,2015,1,1.94729,99,20,5084"
"South Carolina,2015,1,3.06247,150,12,4898"
"South Dakota,2015,1,2.52855,155,25,6130"
"Tennessee,2015,1,5.80371,560,49,9649"
"Texas,2015,1,9.06724,1776,84,19587"
"Utah,2015,1,4.24488,900,43,21202"
"Vermont,2015,1,3.10345,108,12,3480"
"Virginia,2015,1,6.49073,5679,124,87494"
"Washington,2015,1,3.64139,158,41,4339"
"West Virginia,2015,1,6.14404,964,44,15690"
"Wisconsin,2015,1,3.71117,221,29,5955"
"Wyoming,2015,1,2.58503,152,24,5880"
"Puerto Rico,2015,1,9.3279,458,6,4910"
"Virgin Islands,2015,1,0.819672,3,1,366"
"New York City,2015,1,2.97957,3029,93,101659"
"Alabama,2015,2,8.25184,886,23,10737"
"Alaska,2015,2,1.03189,11,6,1066"
"Arizona,2015,2,3.21995,674,54,20932"
"Arkansas,2015,2,7.43509,378,17,5084"
"California,2015,2,4.33141,2065,152,47675"
"Colorado,2015,2,2.83366,100,6,3529"
"Connecticut,2015,2,3.10894,127,22,4085"
"Delaware,2015,2,4.00863,130,13,3243"
"District of Columbia,2015,2,10.8407,196,2,1808"
"Florida,2015,2,X,X,X,X"
"Georgia,2015,2,2.13011,480,33,22534"
"Hawaii,2015,2,16.1445,438,18,2713"
"Idaho,2015,2,5.98291,196,8,3276"
"Illinois,2015,2,2.31324,1120,93,48417"
"Indiana,2015,2,3.31008,280,38,8459"
"Iowa,2015,2,2.3933,60,10,2507"
"Kansas,2015,2,6.01526,410,30,6816"
"Kentucky,2015,2,1.30873,288,21,22006"
"Louisiana,2015,2,4.79875,2028,72,42261"
"Maine,2015,2,3.02053,178,31,5893"
"Maryland,2015,2,2.56252,291,24,11356"
"Massachusetts,2015,2,2.46778,674,46,27312"
"Michigan,2015,2,2.09382,366,54,17480"
"Minnesota,2015,2,3.23494,160,15,4946"
"Mississippi,2015,2,5.25514,1000,47,19029"
"Missouri,2015,2,3.3668,285,23,8465"
"Montana,2015,2,1.73021,59,11,3410"
"Nebraska,2015,2,2.54025,71,15,2795"
"Nevada,2015,2,3.4213,468,28,13679"
"New Hampshire,2015,2,1.02768,49,27,4768"
"New Jersey,2015,2,3.34287,339,27,10141"
"New Mexico,2015,2,4.1132,500,26,12156"
"New York,2015,2,5.391,526,86,9757"
"North Carolina,2015,2,3.70417,591,50,15955"
"North Dakota,2015,2,7.65421,170,12,2221"
"Ohio,2015,2,2.39774,391,56,16307"
"Oklahoma,2015,2,11.0353,356,17,3226"
"Oregon,2015,2,2.22525,98,18,4404"
"Pennsylvania,2015,2,3.79356,577,46,15210"
"Rhode Island,2015,2,2.50329,133,20,5313"
"South Carolina,2015,2,1.88298,121,14,6426"
"South Dakota,2015,2,3.21231,215,25,6693"
"Tennessee,2015,2,3.20806,344,52,10723"
"Texas,2015,2,9.74748,2675,97,27443"
"Utah,2015,2,3.87381,722,43,18638"
"Vermont,2015,2,3.9726,145,13,3650"
"Virginia,2015,2,4.9923,4083,124,81786"
"Washington,2015,2,4.17528,202,41,4838"
"West Virginia,2015,2,5.2228,899,45,17213"
"Wisconsin,2015,2,3.28217,201,31,6124"
"Wyoming,2015,2,3.02352,189,25,6251"
"Puerto Rico,2015,2,8.60215,424,7,4929"
"Virgin Islands,2015,2,3.56164,13,1,365"
